UUID,Major,Minor,RSSI,X,Y,Timestamp,SessId
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,0.8355350683229814,1.5213256273291926,1494768676140,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-78,0.8493263493167702,1.520697083726708,1494768676159,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,0.9364291766459627,1.5167273346583852,1494768676279,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-84,0.9850615885714287,1.5145108914285714,1494768676346,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,0.9959494419875776,1.514014672795031,1494768676361,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-74,0.9981270126708075,1.513915429068323,1494768676364,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-91,1.0612765624844722,1.5110373609937888,1494768676451,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-69,1.1382173932919257,1.5075307493167702,1494768676557,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-88,1.215884080993789,1.5039910563975156,1494768676664,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-61,1.2790336308074535,1.5011129883229815,1494768676751,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-92,1.3639588874534163,1.4972424829813664,1494768676868,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-86,1.3806535960248447,1.496481614409938,1494768676891,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-88,1.424205009689441,1.4944967398757765,1494768676951,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-71,1.43654457689441,1.493934358757764,1494768676968,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-58,1.4387221475776397,1.4938351150310558,1494768676971,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-82,1.5120336939130437,1.4904939095652174,1494768677072,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-78,1.5330835438509318,1.4895345535403728,1494768677101,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-91,1.5809900988819878,1.487351191552795,1494768677167,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-83,1.6572050727950312,1.4838776611180124,1494768677272,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-77,1.6782549227329193,1.4829183050931678,1494768677301,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-60,1.7290649053416152,1.480602618136646,1494768677371,23
